wb1_spectrum,wb1_wintel_fit,wb1_wintel_base,wb1_frequency
-69.63016965,-70.57058082,-15.80854043,2349.223835
-64.15021273,-64.74909683,-15.98459215,2349.224502
-59.54212835,-59.82996987,-16.1608319,2349.22517
-55.42477011,-55.666848,-16.33725899,2349.225837
-51.89352002,-52.13444394,-16.51387275,2349.226505
-48.99269414,-49.12822964,-16.6906725,2349.227172
-46.47422506,-46.56237552,-16.86765757,2349.22784
-44.19360583,-44.36690412,-17.04482726,2349.228508
-42.32574526,-42.48480762,-17.22218092,2349.229175
-40.87665177,-40.86934487,-17.39971785,2349.229843
-39.45773114,-39.48156019,-17.57743738,2349.230511
-38.23364194,-38.28807838,-17.75533883,2349.231178
-37.22857043,-37.25918553,-17.93342152,2349.231846
-36.40603003,-36.36751804,-18.11168478,2349.232514
-35.60027172,-35.58753547,-18.29012793,2349.233182
-34.98032678,-34.89582377,-18.46875029,2349.233849
-34.46264462,-34.27219267,-18.64755118,2349.234517
-33.83936289,-33.70098182,-18.82652992,2349.235185
-33.27337362,-33.17193187,-19.00568584,2349.235853
-32.89192188,-32.68012136,-19.18501825,2349.236521
-32.48468091,-32.22488124,-19.36452649,2349.237188
-31.97627851,-31.80797414,-19.54420986,2349.237856
-31.67037344,-31.43171982,-19.7240677,2349.238524
-31.57992027,-31.09759503,-19.90409932,2349.239191
-31.18916697,-30.80557235,-20.08430405,2349.239859
-30.81794369,-30.55411794,-20.26468121,2349.240526
-30.65054809,-30.3406023,-20.44523011,2349.241194
-30.45110404,-30.16182971,-20.62595009,2349.241861
-30.23026528,-30.01448285,-20.80684047,2349.242528
-30.15939668,-29.89543456,-20.98790056,2349.243196
-30.20711495,-29.80190842,-21.16912969,2349.243863
-30.02908742,-29.7315368,-21.35052718,2349.244529
-29.90662942,-29.68236488,-21.53209235,2349.245196
-29.95502378,-29.65283537,-21.71382453,2349.245862
-29.91890794,-29.641765,-21.89572303,2349.246528
-29.85241205,-29.64832747,-22.07778718,2349.247193
-29.92848212,-29.67205692,-22.26001629,2349.247858
-30.06353486,-29.71284862,-22.44240971,2349.248523
-30.06199732,-29.77096159,-22.62496673,2349.249187
-30.07546443,-29.84700846,-22.80768669,2349.24985
-30.19047462,-29.94187769,-22.99056891,2349.250513
-30.27404702,-30.05655593,-23.1736127,2349.251176
-30.34091366,-30.19176991,-23.3568174,2349.251838
-30.59322292,-30.3474132,-23.54018232,2349.252499
-30.93002056,-30.52178175,-23.72370679,2349.253159
-30.98972292,-30.71077967,-23.90739012,2349.253819
-31.11029442,-30.90740962,-24.09123165,2349.254478
-31.42046318,-31.10194617,-24.27523068,2349.255137
-31.53191848,-31.28308668,-24.45938655,2349.255795
-31.57766303,-31.44002525,-24.64369857,2349.256453
-31.79137022,-31.56491987,-24.82816607,2349.25711
-31.95533089,-31.65489305,-25.01278836,2349.257767
-31.87637111,-31.7127639,-25.19756478,2349.258424
-31.86469235,-31.74620948,-25.38249464,2349.25908
-31.97606042,-31.76570104,-25.56757727,2349.259736
-31.99212281,-31.782043,-25.75281198,2349.260391
-31.92895281,-31.80435451,-25.9381981,2349.261047
-32.02045281,-31.83898446,-26.12373495,2349.261702
-32.15122006,-31.88939486,-26.30942185,2349.262357
-32.14632392,-31.95670487,-26.49525812,2349.263013
-32.14754523,-32.04048697,-26.68124309,2349.263668
-32.32603075,-32.13952117,-26.86737608,2349.264323
-32.44692939,-32.25235217,-27.05365641,2349.264978
-32.49098373,-32.37763439,-27.2400834,2349.265633
-32.70177941,-32.51431342,-27.42665638,2349.266289
-33.00434769,-32.66169844,-27.61337466,2349.266944
-33.08159546,-32.8194859,-27.80023757,2349.267599
-33.14724079,-32.98776519,-27.98724443,2349.268255
-33.35978119,-33.16701521,-28.17439455,2349.26891
-33.52061226,-33.35808688,-28.36168728,2349.269565
-33.65140132,-33.56214588,-28.54912191,2349.270221
-33.95510368,-33.78053262,-28.73669779,2349.270876
-34.25333196,-34.01447842,-28.92441422,2349.271531
-34.41742349,-34.26462209,-29.11227054,2349.272186
-34.67011441,-34.53032369,-29.30026606,2349.27284
-35.01673704,-34.80886341,-29.4884001,2349.273495
-35.25905774,-35.09478386,-29.67667199,2349.274149
-35.43591848,-35.37974611,-29.86508105,2349.274804
-35.79924687,-35.6532553,-30.0536266,2349.275458
-36.16330586,-35.90436954,-30.24230796,2349.276111
-36.26663729,-36.1240591,-30.43112445,2349.276765
-36.31466089,-36.3074828,-30.62007541,2349.277418
-36.51312353,-36.45531134,-30.80916014,2349.278071
-36.64812174,-36.57355309,-30.99837797,2349.278724
-36.6321684,-36.67196281,-31.18772822,2349.279376
-36.78254201,-36.76166871,-31.37721022,2349.280028
-37.04690079,-36.8528961,-31.56682328,2349.28068
-37.07755345,-36.95346052,-31.75656673,2349.281332
-37.10790079,-37.06824978,-31.9464399,2349.281983
-37.29919914,-37.19951064,-32.13644209,2349.282634
-37.47619074,-37.34756918,-32.32657264,2349.283285
-37.53755059,-37.51162038,-32.51683086,2349.283936
-37.70142403,-37.69037146,-32.70721608,2349.284587
-38.0051591,-37.88246692,-32.89772762,2349.285237
-38.17003575,-38.08672158,-33.0883648,2349.285888
-38.29246103,-38.30221836,-33.27912695,2349.286538
-38.55100769,-38.52833011,-33.47001338,2349.287188
-38.8322685,-38.76470477,-33.66102341,2349.287838
-39.02371952,-39.01124038,-33.85215638,2349.288487
-39.27765356,-39.26806093,-34.0434116,2349.289137
-39.66638952,-39.53549716,-34.23478839,2349.289786
-39.91814265,-39.81407481,-34.42628607,2349.290436
-40.10620236,-40.10451246,-34.61790398,2349.291085
-40.41666554,-40.40772857,-34.80964142,2349.291734
-40.76931838,-40.72485674,-35.00149772,2349.292382
