AnalyticalID,Date,StartTime,Time,Name,Xp626_L2_mean,Xp626_L2_std,mismatch_Xp626_L2,std_mismatch_Xp626_L2,Praw_mean,Praw_std,mismatch_Praw,std_mismatch_Praw,Traw_mean,Traw_std,mismatch_Traw,std_mismatch_Traw,cycle_n,outliers,dp13C_L1_raw_mean,dp13C_L1_raw_std,dp18O_L1_raw_mean,dp18O_L1_raw_std,dp18O_L2_raw_mean,dp18O_L2_raw_std,dp17O_L2_raw_mean,dp17O_L2_raw_std,Dp17O_raw_mean,Dp17O_raw_std,Dp17O_corr
IAEA603-45,5-Mar-24,11:10:00,11:10:23,240305_111023,405063.9873,187.8282684,-11291.1689,167.1232622,28.39765545,0.049105598,-0.023372682,0.049035732,296.7390901,0.002148932,-0.000125523,0.000490444,18,1,41.7609448,0.085960311,26.91561182,0.069242803,26.70245555,0.060500362,14.06221942,0.036147295,-0.036677108,0.01946463,-0.123619108
IAEA603-46,8-Mar-24,9:50:00,9:50:43,240308_095043,403147.5119,5738.193364,-13301.72691,5453.589124,28.3973999,0.057646942,-0.081154869,0.061011537,296.7528507,0.001088757,-0.000631586,0.001069566,14,0,41.53149725,0.172855069,27.08252464,0.19606423,26.75684556,0.166519778,14.09112169,0.102354268,-0.036492768,0.048521931,-0.138916065
IAEA603-48,3-Apr-24,14:46:00,14:46:42,240403_144642,422356.7175,269.9128766,5551.42498,159.4247824,28.34875453,0.252313857,-0.182512217,0.260072831,296.7578098,0.001121949,-9.96E-06,0.001015251,10,0,42.48542859,0.038828087,27.36024692,0.084623705,27.43063476,0.142554047,14.36300084,0.09410492,-0.120374315,0.03218187,-0.077628343
IAEA603-50,10-Apr-24,11:50:00,11:50:33,240410_115033,389312.344,11904.73855,-27784.01275,11844.82635,28.40781489,0.06241708,-0.070363331,0.057415273,296.7715929,0.001779757,-9.20E-05,0.000792236,19,0,42.09450322,0.07248879,27.03690454,0.075658416,26.37554673,0.284155304,14.05356741,0.058021441,0.127278733,0.118838084,-0.086658165
IAEA603-51,10-Apr-24,16:36:00,16:20:56,240410_162056,383828.0419,484.4925975,-33210.31376,518.2248865,28.39276943,0.025892108,-0.037401827,0.043806003,296.7662587,0.000916065,-0.000206278,0.000701919,11,0,42.38963597,0.020149771,27.11393515,0.033464067,26.4242879,0.111608771,14.1025592,0.055257309,0.150535189,0.063014348,-0.105184227
IAEA603-53,12-Jun-24,11:15:00,11:15:02,240612_111502,409044.5954,369.9066122,-7563.584938,367.5330983,28.59813529,0.014695076,-0.035635007,0.023438772,296.6975808,0.001831879,-0.000430404,0.000545425,10,0,42.45804432,0.013947016,27.2073326,0.026637237,27.01710045,0.067071707,14.18241029,0.062661376,-0.082618747,0.027969798,-0.140858351
IAEA603-54,12-Jun-24,13:23:00,13:23:56,240612_132356,412756.72,678.988472,-3916.240898,685.3188313,28.57511719,0.051550866,-0.039499062,0.033612085,296.7029582,0.000593114,0.000116723,0.000478245,13,0,42.41052285,0.027177492,27.09302094,0.055916594,26.97252054,0.061353713,14.17634038,0.06321509,-0.06515046,0.050972789,-0.095305515
IAEA603-55,24-Jun,10:03:00,10:03:10,240624_100310,419238.7003,406.8164551,2545.839108,425.2392369,28.58563229,0.023157378,-0.074684242,0.020832704,296.7174772,0.001016546,-0.000170062,0.000441797,12,2,42.36735221,0.030641355,27.09412278,0.033347899,27.04035756,0.035602343,14.18054028,0.029099798,-0.096768507,0.016939431,-0.077165545
IAEA603-56,24-Jun-24,13:31:00,13:31:37,240624_133137,415900.2315,469.7714898,-1110.090308,457.4486916,28.60582347,0.053285364,-0.091376156,0.047008644,296.7182163,0.001224133,2.89E-05,0.000721432,18,0,42.59447119,0.026789338,27.38637203,0.047839144,27.27536028,0.04805518,14.32817893,0.047209863,-0.073211302,0.03935859,-0.081758997
IAEA603-58,8-Aug-24,15:46:00,15:46:23,240808_154623,434766.3626,254.3004979,18084.20028,225.6254519,28.9430044,0.059158001,-0.08836024,0.068817297,296.6772714,0.00470579,8.12E-05,0.00047022,11,0,42.59145133,0.017501795,27.1628281,0.022654329,27.39343054,0.065608592,14.25449238,0.050755172,-0.209238943,0.03738621,-0.069990601
IAEA603-59,27-Aug-24,14:05:00,14:05:16,240827_140516,426728.9158,397.4430177,9923.254849,360.5629866,29.01079171,0.52175891,0.077586484,0.557519204,296.6831112,0.001717482,0.000301766,0.0011525,15,0,42.5214025,0.079042089,27.2000646,0.183413864,27.44738811,0.140529888,14.3499286,0.218138399,-0.14229232,0.178171023,-0.065883257
IAEA603-60,3-Sep-24,11:23:00,11:23:04,240903_112304,425704.7348,836.2717594,8484.840677,887.109353,28.20610081,0.046273411,-0.061116714,0.066747891,296.7089742,0.001472741,0.000129058,0.000970632,13,0,42.60360618,0.06820515,27.34057721,0.032381191,27.3801544,0.131324173,14.30194135,0.072351504,-0.154780174,0.024088807,-0.0894469
IAEA603-61,6-Sep-24,15:41:00,15:41:10,240906_154110,419665.4424,526.3404683,2445.824514,521.6787979,28.50914871,0.052513325,-0.091585197,0.033810411,296.6749959,0.00063267,-0.000329499,0.000388004,14,0,42.56891386,0.027934661,27.37040746,0.02740536,27.30740256,0.037175088,14.3184476,0.029701654,-0.099860949,0.018581523,-0.0810281
IAEA603-62,19-Sep-24,13:11:00,13:11:06,240919_131106,406683.5619,530.3468954,-9718.616302,606.7174147,29.14648371,0.019905911,-0.086419963,0.020504107,296.7040267,0.001074516,-0.000386984,0.000606015,13,0,42.17234984,0.042285811,27.1208695,0.026988892,26.90582259,0.080046533,14.19177213,0.029938034,-0.014502202,0.025233818,-0.089335547
IAEA603-64,2-Oct-24,13:52:00,13:52:26,241002_135226,421048.4565,734.2466747,3965.260991,796.9020944,29.17114907,0.036220823,-0.052655334,0.031006424,296.7054273,0.000583949,-6.34E-06,0.000501646,12,1,42.73668194,0.023880352,27.30385356,0.027777948,27.3327613,0.05866815,14.2773867,0.030976044,-0.154311262,0.018660582,-0.123778752
IAEA603-65,7-Oct-24,14:37:00,14:37:11,241007_143711,414497.8071,375.1559233,-2115.254372,404.0295281,29.13089038,0.032765211,-0.057293533,0.021594617,296.7329209,0.003448755,-0.000278698,0.000648202,11,0,42.71401475,0.032447763,27.33275967,0.042847535,27.24783262,0.022375755,14.31305221,0.016556941,-0.073803413,0.013853002,-0.090090871
NBS18-16,10-Feb-23,10:04:00,10:04:45,230210_100445,401600.3883,467.4178218,-14736.03225,438.3752893,28.22759814,0.076891896,-0.008563808,0.087275799,296.829374,0.002796183,0.000425821,0.000878366,18,0,35.27288379,0.027971647,7.136113592,0.05188999,6.818378217,0.110527046,3.68976322,0.074088144,0.089659522,0.036502906,-0.023807927
